density	velocityVariance	speedMean	currentSpeed	currentAcc	exp	
1.782535E-05	0.509189	8.75365	10	50	1	
2.037183E-05	0.8368907	8.76218	10	50	1	
2.291831E-05	2.229252	8.863949	10	50	1	
1.782535E-05	0.1009203	8.549758	10	50	1	
1.782535E-05	1.499045	8.863038	10	50	1	
1.782535E-05	1.424333	9.13338	10	50	1	
1.782535E-05	3.585831	9.469052	10	50	1	
1.782535E-05	3.248692	9.206952	10	50	1	
1.782535E-05	3.715662	9.438014	10	50	1	
1.782535E-05	8.788728	9.154677	10	50	1	
1.782535E-05	6.293388	9.490129	10	50	1	
1.782535E-05	2.900422	10.01631	10	50	1	
2.037183E-05	5.016324	10.87707	10	50	1	
2.291831E-05	17.14905	11.49751	10	50	1	
2.546479E-05	23.12909	11.25445	10	50	1	
2.546479E-05	9.836115	10.87746	10	50	1	
2.801127E-05	7.570589	9.92248	10	50	1	
2.546479E-05	8.294853	9.430167	10	50	1	
2.546479E-05	12.78198	9.756918	10	50	1	
2.546479E-05	15.09061	9.458328	10	50	1	
2.546479E-05	4.603647	8.732459	10	50	1	
1.782535E-05	3.235601	8.802497	10	50	1	
1.782535E-05	0.923	8.60417	10	50	1	
1.782535E-05	0.4742067	8.720862	10	50	1	
1.527887E-05	0.8711392	8.795335	10	50	1	
1.527887E-05	0.4236493	8.623099	10	50	1	
1.782535E-05	0.05537206	8.578173	10	50	1	
2.037183E-05	0.7922761	8.658214	10	50	1	
2.291831E-05	0.519177	8.797124	10	50	1	
2.546479E-05	2.137115	9.158214	10	50	1	
2.037183E-05	3.994654	8.809012	10	50	1	
2.037183E-05	1.279869	9.072603	10	50	1	
2.037183E-05	3.097213	9.178157	10	50	1	
1.782535E-05	2.841763	9.159109	10	50	1	
2.037183E-05	6.412101	9.408713	10	50	1	
1.782535E-05	7.655627	9.349055	10	50	1	
1.782535E-05	1.330782	8.740141	10	50	1	
1.273239E-05	0.968272	9.294785	10	50	1	
1.527887E-05	4.515681	9.815536	10	50	1	
1.527887E-05	3.062432	9.191213	10	50	1	
1.527887E-05	1.338246	8.938111	10	50	1	
1.782535E-05	3.54751	9.152986	10	50	1	
2.037183E-05	3.784747	8.945629	10	50	1	
1.782535E-05	0.7231709	8.821044	10	50	1	
2.037183E-05	1.415653	8.809691	10	50	1	
2.291831E-05	0.3254321	8.702792	10	50	1	
2.291831E-05	0.8620065	8.909959	10	50	1	
2.291831E-05	4.789543	9.236409	10	50	1	
2.291831E-05	4.587844	9.119613	10	50	1	
2.291831E-05	2.98985	8.928415	10	50	1	
1.782535E-05	0.2168951	8.519752	10	50	1	
1.782535E-05	0.1983311	8.638673	10	50	1	
2.037183E-05	0.8848478	8.973459	10	50	1	
2.291831E-05	4.475139	9.541636	10	50	1	
2.291831E-05	10.05448	9.292343	10	50	1	
2.291831E-05	9.131042	9.366765	10	50	1	
2.037183E-05	3.991958	9.32739	10	50	1	
1.782535E-05	0.8320822	8.82615	10	50	1	
2.037183E-05	5.548069	9.143209	10	50	1	
2.037183E-05	3.414124	9.154518	10	50	1	
2.037183E-05	3.615164	9.105758	10	50	1	
2.037183E-05	2.001774	9.020333	10	50	1	
2.291831E-05	6.403893	9.08631	10	50	1	
1.527887E-05	0.7348162	8.982026	10	50	1	
1.527887E-05	2.177837	9.302715	10	50	1	
1.782535E-05	1.888735	9.568919	10	50	1	
2.037183E-05	4.039415	9.871727	10	50	1	
2.291831E-05	6.152773	9.91532	10	50	1	
2.546479E-05	4.607157	9.612183	10	50	1	
2.291831E-05	6.158116	8.770999	10	50	1	
1.782535E-05	0.4949785	8.887497	10	50	1	
1.782535E-05	0.351592	8.955203	10	50	1	
1.782535E-05	0.1502434	9.352925	10	50	1	
