LastReportedND_x	LastReportedND_y	LastReportedND_z	dronesDensity	totalConflicts	conflictFrequency	currentTime	testVariable	CurrentVariable	timeScale	runTime	queueLength	citySize	BCI	FAI	HVariability	ARVariability	
-0.3290806	0.5608836	-0.4077314	6.31510416666667E-05	4700	208	73.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.008793354	0.07958393	-0.4729094	6.41637731481482E-05	4908	161	74.655	SpawnRate	1	0.3	200	1	240	0.6	15	0.7	0.2	
0.4028821	0.2843452	0.1453971	6.45978009259259E-05	5128	208	75.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.4263983	0.2881837	0.4026102	6.52488425925926E-05	5384	220	76.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.3958115	0.2713383	0.412568	6.57552083333333E-05	5614	256	77.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.0410126	0.3568385	-0.1169311	6.56828703703704E-05	5853	230	78.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.2299318	0.1317052	-0.134943	6.62615740740741E-05	6118	239	79.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.234206	0.2284534	-0.244087	6.67679398148148E-05	6384	265	80.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.2202591	0.2354905	-0.2071737	6.70572916666667E-05	6659	266	81.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.1350643	0.2149862	-0.04876086	6.75636574074074E-05	6900	275	82.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.2325614	0.3560499	-0.1762276	6.77806712962963E-05	7134	241	83.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.03402115	0.360678	-0.1240076	6.77806712962963E-05	7400	234	84.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.1006122	0.4782619	0.04272556	6.81423611111111E-05	7636	266	85.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.0462683	0.08652747	0.468931	6.8359375E-05	7891	236	86.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.1406217	0.338504	-0.05629737	6.85763888888889E-05	8091	255	87.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.2148338	0.2225153	0.3856983	6.91550925925926E-05	8351	200	88.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.1743678	0.07300464	-0.1202175	6.98784722222222E-05	8597	260	89.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.3309481	0.09326109	0.4750906	7.03125E-05	8873	246	90.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.1676653	0.5012266	0.07674246	7.05295138888889E-05	9114	276	91.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.2342055	0.1067093	7.241567E-05	7.06741898148148E-05	9374	241	92.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.3375392	0.2522642	-0.03790452	7.08188657407407E-05	9605	260	93.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.4213685	0.3064472	0.04968313	7.07465277777778E-05	9830	231	94.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.3959885	0.1322866	-0.07921352	7.08188657407407E-05	10024	225	95.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.2891234	0.3233212	0.03110021	7.06018518518519E-05	10269	194	96.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.2496052	0.4061593	-0.2323517	7.06741898148148E-05	10489	245	97.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.4785198	0.2275634	0.367802	7.09635416666667E-05	10717	220	98.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.3087646	0.2420232	0.1066409	7.12528935185185E-05	10971	228	99.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
