time	collisionFrequency	density	variance	alignmentGain	cohesionGain	separationGain	migrationGain	orthSepGain	a	c	speed	maxForce	flockingInterval	SOIRadius	
408.0049	0	8.75E-05	873.641558356026	1	1	1	1	0	20	3	10	10	0.1	25	
409.0049	0	8.75E-05	774.258297047261	1	1	1	1	0	20	3	10	10	0.1	25	
410.0049	0	8.125E-05	899.49856332348	1	1	1	1	0	20	3	10	10	0.1	25	
411.0049	0	8.75E-05	1263.0473179626	1	1	1	1	0	20	3	10	10	0.1	25	
412.0049	0	7.5E-05	1630.30101562591	1	1	1	1	0	20	3	10	10	0.1	25	
413.0049	0	5.625E-05	1001.52917429301	1	1	1	1	0	20	3	10	10	0.1	25	
414.0049	0	6.875E-05	839.968204503698	1	1	1	1	0	20	3	10	10	0.1	25	
415.0049	1	6.875E-05	759.64781239016	1	1	1	1	0	20	3	10	10	0.1	25	
416.0049	0	6.25E-05	548.966389972872	1	1	1	1	0	20	3	10	10	0.1	25	
417.0049	0	6.25E-05	359.039718016252	1	1	1	1	0	20	3	10	10	0.1	25	
418.0049	1	7.5E-05	470.489356784221	1	1	1	1	0	20	3	10	10	0.1	25	
419.0049	0	8.75E-05	435.903854020774	1	1	1	1	0	20	3	10	10	0.1	25	
420.0049	0	6.875E-05	618.768548822651	1	1	1	1	0	20	3	10	10	0.1	25	
421.0049	0	7.5E-05	843.174398853233	1	1	1	1	0	20	3	10	10	0.1	25	
422.0049	0	8.125E-05	1096.73650480302	1	1	1	1	0	20	3	10	10	0.1	25	
423.0049	0	7.5E-05	1001.27390687564	1	1	1	1	0	20	3	10	10	0.1	25	
424.0049	0	8.125E-05	1275.78792073728	1	1	1	1	0	20	3	10	10	0.1	25	
425.0049	0	6.875E-05	1802.15697022801	1	1	1	1	0	20	3	10	10	0.1	25	
426.0049	0	5.625E-05	2054.04960137953	1	1	1	1	0	20	3	10	10	0.1	25	
427.0049	0	6.25E-05	1121.84584625008	1	1	1	1	0	20	3	10	10	0.1	25	
428.0049	1	6.25E-05	1296.22911954871	1	1	1	1	0	20	3	10	10	0.1	25	
429.0049	0	5E-05	998.595476974751	1	1	1	1	0	20	3	10	10	0.1	25	
430.0049	0	7.5E-05	974.653411554729	1	1	1	1	0	20	3	10	10	0.1	25	
431.0049	0	6.25E-05	1027.9032313558	1	1	1	1	0	20	3	10	10	0.1	25	
432.0049	0	6.875E-05	855.671581670952	1	1	1	1	0	20	3	10	10	0.1	25	
433.0049	0	6.875E-05	995.697355104135	1	1	1	1	0	20	3	10	10	0.1	25	
434.0049	0	6.25E-05	1348.39361278128	1	1	1	1	0	20	3	10	10	0.1	25	
435.0049	0	6.25E-05	1723.10608057703	1	1	1	1	0	20	3	10	10	0.1	25	
436.0049	0	6.25E-05	2019.73499733069	1	1	1	1	0	20	3	10	10	0.1	25	
437.002	0	5.625E-05	1811.71300719628	1	1	1	1	0	20	3	10	10	0.1	25	
438.0049	0	5E-05	2349.58811173404	1	1	1	1	0	20	3	10	10	0.1	25	
439.0049	0	5E-05	1769.90836811711	1	1	1	1	0	20	3	10	10	0.1	25	
440.0049	0	5.625E-05	1634.389241189	1	1	1	1	0	20	3	10	10	0.1	25	
441.0049	0	6.25E-05	1029.15130031245	1	1	1	1	0	20	3	10	10	0.1	25	
442.0049	0	6.875E-05	1219.64520781895	1	1	1	1	0	20	3	10	10	0.1	25	
443.0049	0	8.125E-05	834.843818640523	1	1	1	1	0	20	3	10	10	0.1	25	
444.0049	0	6.25E-05	1253.51217119287	1	1	1	1	0	20	3	10	10	0.1	25	
445.0049	0	6.25E-05	1613.76221690995	1	1	1	1	0	20	3	10	10	0.1	25	
446.0049	0	6.25E-05	1526.78380922066	1	1	1	1	0	20	3	10	10	0.1	25	
447.0049	0	6.25E-05	1331.48718656094	1	1	1	1	0	20	3	10	10	0.1	25	
448.0049	0	6.25E-05	1424.73580071378	1	1	1	1	0	20	3	10	10	0.1	25	
449.0049	0	6.875E-05	1259.82990231767	1	1	1	1	0	20	3	10	10	0.1	25	
450.0049	0	6.875E-05	528.478632511464	1	1	1	1	0	20	3	10	10	0.1	25	
451.0049	0	7.5E-05	333.017946777094	1	1	1	1	0	20	3	10	10	0.1	25	
452.0049	0	8.125E-05	293.1049595993	1	1	1	1	0	20	3	10	10	0.1	25	
453.0049	0	8.75E-05	518.771643650324	1	1	1	1	0	20	3	10	10	0.1	25	
454.0049	0	9.375E-05	718.562181315558	1	1	1	1	0	20	3	10	10	0.1	25	
455.0049	0	7.5E-05	1595.82132531748	1	1	1	1	0	20	3	10	10	0.1	25	
456.0049	0	6.25E-05	1412.27823600782	1	1	1	1	0	20	3	10	10	0.1	25	
457.0049	0	6.875E-05	1300.04387974766	1	1	1	1	0	20	3	10	10	0.1	25	
458.0049	0	7.5E-05	1196.23342868391	1	1	1	1	0	20	3	10	10	0.1	25	
